hahatitle	price	link	page	comments_count	activity	capacity
五粮液52度 整箱特惠装 500ml*6瓶 内赠礼品袋3个	￥4379.00	http://item.jd.com/714875.html	page=1	已有6639人评价	3699元-铜牌及以上会员价！整箱装更实惠！原箱配送更省心！京东自营，厂家直供，喝的放心！迎中秋！五粮液特惠专场！	500ml
五粮液水晶装52度整箱套装500ml*6瓶	￥3649.00	http://item.jd.com/1030710.html	page=1	已有1754人评价	整箱装，更实惠！原箱配送更省心！京东自营，厂家直供，喝的放心！迎中秋！五粮液特惠专场！点击劲爆！	500ml
茅台 飞天53度整箱特惠装 500ml*6瓶	￥6954.00	http://item.jd.com/1150676.html	page=1	已有118人评价	【自营】加入购物车，合5449元茅台中秋专场	500ml
五粮液52度 500ML	￥659.00	http://item.jd.com/251813.html	page=1	已有16763人评价	628元-铜牌价！五粮液畅销核心单品！京东自营，喝的放心迎中秋！五粮液特惠专场！点击劲爆！	500ml
剑南春52度特惠整箱装500ml*6瓶	￥2159.00	http://item.jd.com/884953.html	page=1	已有1863人评价	直降至2159！中秋提前购，保真又实惠！囤货中・・・【京东自营，喝的放心】酒类超值专场请点击	500ml
五粮液1618 52度 整箱特惠装 500ml*6瓶 内赠礼品袋3个	￥3898.00	http://item.jd.com/714878.html	page=1	已有2742人评价	整箱装更实惠！原箱配送更省心！五粮液核心畅销单品！京东自营，喝的放心！迎中秋！五粮液特惠专场！	500ml
红花郎酒十年陈酿53度整箱装500ml*6瓶（箱内有礼品袋3只）	￥1499.00	http://item.jd.com/782957.html	page=1	已有2478人评价	【京东自营】京东首届郎酒节劲爆专场点击	500ml
五粮液68度 整箱特惠装 500ml*6瓶 内赠礼品袋3个	￥3594.00	http://item.jd.com/714881.html	page=1	已有883人评价	合599元每瓶！整箱装，更实惠！原箱配送更省心！京东自营，喝的放心！迎中秋！五粮液特惠专场！点击劲爆！	500ml
飞天茅台 53度 500ml	￥1159.00	http://item.jd.com/854013.html	page=1	已有6045人评价	【自营】1瓶999、2瓶起919/瓶茅台中秋专场	500ml
五粮液水晶装52度500ml	￥659.00	http://item.jd.com/853283.html	page=1	已有10745人评价	609元-铜牌价！五粮液畅销核心单品！京东自营，喝的放心！迎中秋！五粮液特惠专场！	500ml
洋河蓝色经典天之蓝 52度 整箱装 480ml*6瓶	￥1859.00	http://item.jd.com/819973.html	page=1	已有1598人评价	绵柔精品，酒中贵族！整箱购买更省心！【京东自营】洋河专场点这！酒类超值专场请点击	480ml
牛栏山 陈酿白酒42度 整箱装 500ml*12瓶	￥129.60	http://item.jd.com/1018276.html	page=1	已有5039人评价	【京东自营，喝的放心】牛栏山专场！更多活动请点击！	500ml
洋河蓝色经典海之蓝 52度 整箱装 480ml*6瓶	￥799.00	http://item.jd.com/819972.html	page=1	已有4062人评价	中秋降到底，整箱超值购！你没见过的价格！【京东自营！喝的放心】进入劲爆活动	480ml
洋河蓝色经典海之蓝 42度 整箱装 480ml*6瓶	￥759.00	http://item.jd.com/251321.html	page=1	已有5918人评价	中秋直降！绵柔精品！整箱低价购！【京东自营，喝的放心！】点此进入劲爆活动	480ml
五粮液 45度 整箱装 500ml*6瓶	￥2874.00	http://item.jd.com/1130786.html	page=1	已有52人评价	合479元每瓶！整箱装，更实惠！原箱配送更省心！京东自营，喝的放心！迎中秋！五粮液特惠专场！点击劲爆！	500ml
泸州老窖特曲老字号 52度 整箱装 500ml*6瓶	￥899.00	http://item.jd.com/782871.html	page=1	已有2446人评价	泸州老窖庆中秋直降+两瓶起更优惠专场！宴请送礼超值！点进进入专场！	500ml
剑南春52度500ml	￥389.00	http://item.jd.com/283397.html	page=1	已有8642人评价	359（两瓶起订）超值大促为中秋！真，快，省！【京东自营】酒类超值专场请点击	500ml
五粮液 1618 52度 618ml整箱装（内有3个礼品袋）	￥4488.00	http://item.jd.com/1130391.html	page=1	已有117人评价	4199元-铜牌价！大容量，有面子，超划算！原箱配送更省心！京东自营，厂家直供，喝的放心！迎中秋！五粮液特惠专场！点击劲爆！	618ml
牛栏山百年陈酿36度整箱特惠装400ml*6瓶（箱内有礼品袋3只）	￥629.00	http://item.jd.com/830807.html	page=1	已有2188人评价	【京东自营，喝的放心】牛栏山专场！更多活动请点击！	400ml
牛栏山百年陈酿52度整箱特惠装400ml*6瓶（箱内有礼品袋3只）	￥708.00	http://item.jd.com/830806.html	page=1	已有2368人评价	【京东自营，喝的放心】牛栏山专场！更多活动请点击！	400ml
红花郎酒十年陈酿53度 500ml	￥255.00	http://item.jd.com/324839.html	page=1	已有16427人评价	【自营】买2即送红花郎10年小酒1瓶首届京东郎酒节	500ml
五粮液68度 500ml	￥659.00	http://item.jd.com/545243.html	page=1	已有2897人评价	625元-铜牌价！五粮液畅销核心单品！京东自营，喝的放心！迎中秋！五粮液特惠专场！	500ml
五粮液1618 52度 500ML	￥729.00	http://item.jd.com/251826.html	page=1	已有9438人评价	659元-铜牌价！五粮液畅销核心单品！京东自营，喝的放心！迎中秋！五粮液特惠专场！	500ml
洋河蓝色经典天之蓝 52度 480ml	￥318.00	http://item.jd.com/698424.html	page=1	已有4155人评价	308元（两瓶起订）绵柔精品，酒中贵族！【京东自营，喝的放心】点此进入劲爆活动	480ml
郎酒 1956老郎酒 6瓶装 53度 500ml	￥432.00	http://item.jd.com/1026242026.html	page=1	已有1092人评价	购2箱送1箱泸州老窖珍藏套装【官方授权 京东配送 货到付款】3周年庆，名品爆款，直裸到底！	500ml
五粮液 1618 52度 618ml	￥749.00	http://item.jd.com/1130389.html	page=1	已有645人评价	699元-铜牌及以上会员价！大毫升，有面子！京东自营，厂家直供，喝的放心！	618ml
洋河蓝色经典海之蓝 52度 480ml	￥139.00	http://item.jd.com/698425.html	page=1	已有13980人评价	直降！只为中秋洋河节！绵柔精品，评论为证！【京东自营，喝的放心！】点此进入劲爆活动	480ml
五粮液 10年水晶 整箱特惠装50度 500ml*6瓶	￥4799.00	http://item.jd.com/1020651.html	page=1	已有94人评价	五粮液高端名酒，低价享受！有面子！原箱配送更省心！京东自营，喝的放心！迎中秋！五粮液特惠专场！点击劲爆！	500ml
洋河蓝色经典 海之蓝 52度 375ml	￥99.00	http://item.jd.com/1122581.html	page=1	已有696人评价	今日团购！	375ml
茅台飞天酒 43度 整箱装 500ml*6瓶	￥3834.00	http://item.jd.com/781491.html	page=1	已有415人评价	【自营】合639元/瓶茅台中秋专场	500ml
老郎酒1898 53度整箱特惠装500ml*6瓶（箱内有礼品袋3只）	￥639.00	http://item.jd.com/830801.html	page=1	已有1523人评价	【自营】买1赠1郎牌特曲T6小酒1瓶首届京东郎酒节	500ml
泸州老窖百年窖龄60年 52度 整箱装 500ml*6瓶	￥1359.00	http://item.jd.com/830814.html	page=1	已有459人评价	泸州老窖庆中秋直降+两瓶起更优惠专场！宴请送礼超值！点进进入专场！	500ml
老郎酒1956 53度整箱特惠装500ml*6瓶（箱内有礼品袋3只）	￥438.00	http://item.jd.com/830803.html	page=1	已有2395人评价	【自营】买1赠1郎牌特曲T6小酒1瓶首届京东郎酒节	500ml
洋河蓝色经典天之蓝 46度 整箱装 480ml*6瓶	￥1799.00	http://item.jd.com/251326.html	page=1	已有1182人评价	绵柔精品，酒中贵族！整箱更省心！【京东自营】洋河专场点这！酒类超值专场请点击	480ml
泸州老窖特曲 52度 500ml	￥178.00	http://item.jd.com/600784.html	page=1	已有12678人评价	两瓶起149还送两小酒！泸州老窖庆中秋直降+两瓶起更优惠专场！宴请送礼超值！点进进入专场！	500ml
五粮液45度（新普通）500ml	￥499.00	http://item.jd.com/617128.html	page=1	已有1894人评价	488元-两瓶价！五粮液畅销明星单品！京东自营，喝的放心迎中秋！五粮液特惠专场！点击劲爆！	500ml
茅台迎宾酒 53度 整箱装 500ml*6瓶	￥668.00	http://item.jd.com/781488.html	page=1	已有3455人评价	【自营】铜牌给力价379茅台中秋专场	500ml
汾酒20年青花53度整箱特惠装500ml*6 赠礼品袋3只	￥1929.00	http://item.jd.com/726004.html	page=1	已有484人评价	【京东自营，喝的放心】酒类超值专场请点击	500ml
飞天茅台 43度 500ML	￥699.00	http://item.jd.com/251836.html	page=1	已有3616人评价	【自营】1瓶699、2瓶起639/瓶茅台中秋专场	500ml
泸州老窖1573・国窖 52度 整箱装 500ml*6瓶	￥4188.00	http://item.jd.com/782870.html	page=1	已有155人评价	泸州老窖庆中秋直降+两瓶起更优惠专场！宴请送礼超值！点进进入专场！	500ml
泸州老窖六年陈头曲52度整箱特惠	￥359.00	http://item.jd.com/1084941.html	page=1	已有378人评价	泸州老窖庆中秋直降+两瓶起更优惠专场！宴请送礼超值！点进进入专场！	
茅台迎宾酒(新版) 53度整箱装500ml*6瓶	￥389.00	http://item.jd.com/1033373.html	page=1	已有256人评价	【自营】茅台中秋专场	500ml
红花郎酒十五年陈酿53度整箱装500ml*6瓶（箱内有礼品袋3只）	￥2389.00	http://item.jd.com/782960.html	page=1	已有387人评价	【京东自营】京东首届郎酒节劲爆专场点击	500ml
汾酒青花瓷二十年53度 500ml	￥299.00	http://item.jd.com/582683.html	page=1	已有3567人评价	299元！真！快！省！中秋提前奉献！有货赶紧买！【京东自营】酒类超值专场请点击	500ml
四特 东方韵弘韵整箱装 52度 500ml*6瓶	￥759.00	http://item.jd.com/896708.html	page=1	已有307人评价	【京东自营，喝的放心】进入劲爆活动	500ml
剑南春 38度500ml 整箱装*6瓶	￥1950.00	http://item.jd.com/1096401.html	page=1	已有36人评价	纯粮酿造，倾力推荐！【京东自营】剑南春专场点这！酒类超值专场请点击	500ml
洋河梦之蓝M3 52度 整箱装 500ml*4瓶	￥1998.00	http://item.jd.com/791041.html	page=1	已有508人评价	1998元！酒中贵族，蓝色经典，只为中秋洋河节！【京东自营！喝的放心！】劲爆活动点击	500ml
五粮液尊酒豪华水晶装 52度500ml*6瓶	￥638.00	http://item.jd.com/782880.html	page=1	已有474人评价	整箱装，更实惠！原箱配送更省心！京东自营，喝的放心！迎中秋！五粮液特惠专场！点击劲爆！	500ml
汾酒 出口玻汾 53度500ml 整箱装1*12瓶	￥569.00	http://item.jd.com/1006183.html	page=1	已有382人评价	买即赠杏花村500ml！绝没有更实惠的了！【京东自营】酒类超值专场请点击	500ml
泸州老窖 八年老窖名酿 铁盒 6瓶装 52度 500ml	￥228.00	http://item.jd.com/1005111278.html	page=1	已有8506人评价	218元/套！【京东配送货到付款】3周年庆，名品爆款，直裸到底！8月19日0点-21日0点	500ml
汾酒蓝瓷53度 475ml（新老包装 随机发货）	￥118.00	http://item.jd.com/582690.html	page=1	已有8076人评价	99元（两瓶起订）冲销量！持续优惠！【京东自营】酒类超值专场	475ml
五粮液尊酒豪华水晶装 52度 500ml	￥118.00	http://item.jd.com/717337.html	page=1	已有3100人评价	108元-两瓶价！五粮液畅销明星单品！京东自营，喝的放心迎中秋！五粮液特惠专场！点击劲爆！	500ml
洋河蓝色经典梦之蓝M3 52度 500ml	￥598.00	http://item.jd.com/506545.html	page=1	已有1871人评价	499元（铜牌价）品味独特，酒中贵族！【京东自营】洋河专场点这！酒类超值专场请点击	500ml
白云边十二年陈酿42度整箱装500ml*6瓶	￥588.00	http://item.jd.com/830812.html	page=1	已有801人评价	白云边庆中秋买赠+直降专场！超值！点进进入专场	500ml
牛栏山 经典二锅头52度 500ml 整箱装	￥2329.00	http://item.jd.com/1075528.html	page=1	已有30人评价	【京东自营，喝的放心】牛栏山专场！更多活动请点击！	500ml
习酒金质 53度整箱特惠装 500ml*6瓶（箱内有礼品袋3只）	￥1119.00	http://item.jd.com/960647.html	page=1	已有283人评价	整箱装，更便宜！原箱配送，更省心！京东自营，喝的放心！迎中秋！习酒特惠专场！点击劲爆！	500ml
泸州老窖陈年老酒传说白酒整箱6瓶 52度500ML*6	￥198.00	http://item.jd.com/1113828278.html	page=1	已有247人评价	【京东配送货到付款！包邮！】超市834一箱，品质决定销量！月销万箱！青花瓷！今日团购推荐！	500ml
洋河蓝色经典海之蓝 42度 480ml	￥119.00	http://item.jd.com/251308.html	page=1	已有20102人评价	绵柔~好喝！【京东自营，喝的放心！】点此进入劲爆活动	480ml
五粮液 1995专卖店酒 6瓶装 52度 500ml	￥1368.00	http://item.jd.com/1224741094.html	page=1	已有9人评价	低至199元/瓶，下单立减，仅在店庆月！单笔订单最多买两套！【京东配送 货到付款】	500ml
古井贡酒年份原浆献礼版50度整箱装500ml*6瓶（箱内有礼品袋3只）	￥558.00	http://item.jd.com/791044.html	page=1	已有1487人评价	整箱装直降+买赠【京东自营，喝的放心】古井特惠专场 更多活动请点击！	500ml
